latitude,longitude,Population
40.68217801866513,-73.8783344135671,49223
40.637900275760934,-73.96097028863977,105804
40.72762033383255,-73.98593461195252,44136
40.73304509562114,-74.0015466372372,66880
40.83051123046775,-73.91578860603548,62284
40.82899723894171,-73.92439888928251,39282
40.71833790869767,-73.8800535211673,37929
40.739494889149,-73.8771183268101,88427
40.71491531202915,-73.95862346789869,45774
40.84170651959694,-73.9413997364771,84438
40.78794252871055,-73.95480022002575,1849
40.83416510207033,-73.87228720813977,35011
40.74308450685255,-73.81964130040596,20800
40.64188919436901,-74.00464613077847,72340
40.85440419560324,-73.85439415452791,30073
40.71159464381615,-73.80871182405201,39138
40.708057064978334,-73.82870070870557,23278
40.85710625070862,-73.9328333834672,67136
40.76109341292025,-73.82886536759752,72008
40.864473327711245,-73.84742993441685,28903
40.675916830931094,-73.74452524140894,24453
40.84659693662345,-73.8064931176088,26583
40.561996180014745,-74.12259011864387,22049
40.55186011949582,-74.15088962486898,40720
40.528645101063105,-74.18773391921759,27770
40.525527984674724,-74.23355367045801,23313
40.60244626135848,-73.75531195191157,50058
40.630050007081216,-74.10286114917746,17525
40.82333237464716,-73.82358795790547,44167
40.73977233207323,-73.93121209200034,63271
40.88093721535438,-73.83664062764922,34517
40.69546846088989,-73.99486984638675,22887
40.57176579450207,-74.10500837353116,21896
40.61797302808805,-74.08783920014451,22460
40.57148479270609,-73.87647357091808,28018
40.59405971011894,-73.78962139431397,36885
40.69292731152471,-73.98598652422982,34495
40.59586510626867,-74.17636527723057,39597
40.552659638767565,-74.18848213217112,25238
40.74422103839783,-73.9775154803447,50742
40.731811743434726,-73.97656325695826,21049
40.74927804184557,-73.90373166031507,45099
40.84678571296774,-73.85066353057776,29250
40.72399512905009,-73.90232988043324,30516
40.658744262387785,-73.94744157690593,67459
40.66653550984713,-73.94877561651239,39670
40.77741722310929,-73.90540613741359,47534
40.783329944305535,-73.78596157151313,21751
40.58829946031913,-73.94151065111895,64518
40.62309491347943,-73.91958830094578,418
40.81967506615691,-73.89895677783043,26196
40.67209021092979,-73.77303860760561,25409
40.67895334366065,-73.79098745213146,34603
40.72143075227868,-73.84767281529506,83728
40.69030234217424,-73.83276348348065,436
40.812089064078236,-73.88554684118738,27204
40.63130730484034,-74.16737144321361,31474
40.62816722670551,-74.14078722784741,20191
